"Author, Last","Author, First",Title,Publisher,Date ,Size,Information; Notes ; Condition,Edition/Printrun,ISBN,"Author, Editor",Contributors,Signed/Inscribed,Designer,Summary,W3  Artist,W3 Publisher,Collection Grouping,"Subject classification, tags",Classification,BISAC classification,Dewey Decimal Classification (DDC),Location,Accession No,Price,Image
Hugo,Pieter,PH & HBA,,,,,,,,,,,,,,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,
Hujar,Peter,Peter Hujar,,,,,,,,,,,,,,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,
Hujar,Peter,Love & Lust,Fraenkel Gallery; Slp edition,2014,11 x 0.75 x 14 inches,"Softcover, 82 pages",,978-1881337379,,,,,,,,Individual Photographer Monograph,Art,Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,/assets/images/books/Hujar_Love_Lust_9781881337379.jpg
Hura,Sohrab,Life is Elsewhere,,,,,,,,,,,,,,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,
I,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa,Mao,"Red Flower, The Women of Okinawa",Session Press,2017,,,,978-0692817445,,,,,,,,,,,,,,,,
Ishikawa,Mao,Bad Ass and Beauty—One Love,T&M Projects,,,,,,,,,,,,,,,,,,,,,
Ivin,Sam,Lingering Ghosts,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
Jacobs,Henri,Journal Drawings,,,,,,,,,,,,,,,"Art, Periodical",,,,,,,
Jaeger,Elizabeth,Eros C'est La Vie,Totem,2013,,54 pages,,,,,,,,,,,,,,,,,,
Jaffa,Arthur,,,,,,,,,,,,,,,,,,,,,,,
Jaffa,Arthur,"A Series of Utterly Improbable, Yet Extraordinary Renditions",Serpentine Galleries,,,,,,,,,,,,,,,,,,,,,
Jamie,Zoe Ghertner,PRINT / Issue Two,,,,,,,,,,,,,,,,,,,,,,
Jamison,Aaron Flint,Cascades,Edition Patrick Frey,2015,,288 pages,,978-3905929942,,,,,,,,,,,,,,,,
Jarvis,Shaniqwa,This Charming Man,,2011,,,,,,,Signed,,,,,,Portraits,,,,,,,/assets/images/books/Jarvis_This_Charming_Man_NULL.jpg
Jewell,Dick,Four Thousand Threads,,,,,,,,,,,,,,,,,,,,,,
Jocoy,Jim,Order of Appearance,,,,,,,,,,,,,,,,,,,,,,
Johnson,Matt,Photobooks &: a critical companion to the contemporary medium,,,,,,,,,,,,,,,,,,,,,,
Johnson,Leigh,Gospel Oak,Farago,2015,,,,,,,,false,,,,,,,,,,,,
Johnson,Ray,Ray Johnson c/o,Art Institute of Chicago,2021,9 x 1.1 x 12 inches,"Softcover, 376 pages",,978-0300254334,"Haskell, Caitlin",,,,"Ray Johnson (1927–1995) was a renowned maker of meticulous collages whose works influenced movements including Pop Art, Fluxus, and Conceptual Art. Emerging from the interdisciplinary community of artists and poets at Black Mountain College, Johnson was extraordinarily adept at using social interaction as an artistic endeavor and founded a mail art network known as the New York Correspondence School. Drawing on the vast collection of Johnson’s work at the Art Institute of Chicago, this volume gives new shape to our understanding of his artistic practice and features hundreds of pieces that include artist’s books, collages, drawings, mail art, and performance documentation. In keeping with Johnson’s democratic, rhizomatic, and antihierarchical ethos, this indispensable resource on the artist’s oeuvre contains 700 illustrations, many of them never before published, and twenty-one short essays by various contributors that allow readers to dip into and out of the book in a nonlinear manner.",,,Art,mail art,Individual Artist Monographs,,,,,,/assets/images/books/Johnson_Ray_Johnson_co_9780300254334.jpg
Johnstone,Charles,Briney Breezes,Sun Editions,2015,,,First Edition,978-0984978199,,Aaron McElroy,,,,,,,,,,,,,,
Johnstone,Charles,The Girl in the Fifth Floor Walk-Up,,,,,,,,,,,,,,,,,,,,,,
Johnstone,Charles,Libby,,,,,,,,,,,,,,,,,,,,,,
JR,,JR: Can Art Change the World?,Phaidon Press,2015,,,,978-0714869490,,,,,,,https://www.phaidon.com,,Art Book,,,,,,,/assets/images/books/JR_JR_Can_Art_Change_the_World_9780714869490.jpg
K,,,,,,,,,,,,,,,,,,,,,,,,
Kader Attia,Kader,Transformations,Spectormag GbR,2014,,"224 pages, Hardcover, in very good condition.",First Edition,978-3944669236,Ellen Blumenstein,,,Cover design by Johannes Willi,"""Transformations"" is a collection of essays and artworks by Kader Attia that explore the concept of transformation in various forms.",,,Art,"Art, Philosophy, Cultural Studies","ART031000, PHI022000, SOC026000","ART031000, PHI022000, SOC026000",709.2,,,$50.00,/assets/images/covers/9783944669236.jpg
Kanoh,Tenmei,New York 1969,,,,,,,,,,,,,,,New York City,,,,,,,
Kash,Sam,Surf Goddess: Beauty Meets the Beach,Radius Press,1995,,,,0-942154-95-9,,,,,,,,,,,,,,,,/assets/images/books/Kash_Surf_Goddess_Beauty_Meets_the_Beach_0942154959.jpg
Katsu; Ari Marcopoulos,,6-23 '13 - N6 Street - Brooklyn,,,,,,,,,,,,,,,,,,,,,,
Kawasaki,Shiori,Fan Zine,Bookdummypress,2013,,,,978-0-9896888-1-9,,,,,,,,,,,,,,,,
Kayser,John,Rose,Ampersand Gallery,2015,,,,,,,,,,,,,Art,,,,,,,
Kayser,John,Rose,Ampersand Gallery,2015,,,,,,,,,,,,,Art,,,,,,,
Kayser,John,JK Sitting,,,,,,,,,,,,,,,,,,,,,,
Keiser,Daniela,Ar & Or,,2012,,,,978-3037461648,,,,,,,,,,,,,,,,
Keizer,Ilja,Vicky,self-published,2021,24.5x18cm,"Linen hardcover, with tip-in, 96 pages",First Edition,978-909034193,,,"Signed, Includes: Including a signed print, McDonald's Warsaw receipt / a personal note from Vicky / photo strip from instant photo machine located in St. Pauli Hamburg / contact form from restaurant 26 Shibuya in Berlin and a Spotify playlist",,"Vicky: ‘Fucking Glad I met You’ is a personal and raw collection of portraits and mobile phone snapshots shot in the summer of 2020 by Dutch photographer Ilja Keizer. The images were made during an intense journey that led them around Europe in a little over 3 months, with the trip ending in a tiny Polish village where Vicky lives. The result is a highly personal document, including a signed print and various inserts.",,,,,,,,,,,
Keller,Dagmar,Passengers,Spector Books,2014,,,,978-3944669021,,,,,,,,,,,,,,,,/assets/images/covers/9783944669021.jpg
Keller; Martin Wittwer,Dagmar,Passengers,,,,,,,,,,,,,,,,,,,,,,
Kern,Richard,Extra High,INNEN,2021,5.11 x 7.48 in,"Softcover, Color Offset Printed, 36 pages",Edition of 1000,,,,,,Booklet / Zine sequel to CONTACT HIGH. Women smoking weed. New smoker photos plus outtakes from CH sessions in a smaller format.,http://www.richardkern.com/,,NYC,"erotica, nyc, nude, girls",,,,,,,
Kern,Richard,Half Half,co-published by Catalogue Library and Shizen Brooklyn,2019,9.5 x 6.5 x .5 inches,"Softcover, 78 pages, color",Edition of 400,,,,,,"Half Half was photographed in Tokyo and New York City between 2016 and 2018. Photographs by Richard Kern. Styling, hair and makeup by Shizen Brooklyn (NYC) and The Oversea (Tokyo). Design and Layout by Catalogue",http://www.richardkern.com/,,NYC,"erotica, nyc, nude, girls",Individual Photographer Zine,,,,,,
Kern,Richard,,,,,,,,,,,,,http://www.richardkern.com/,,,"erotica, nyc, nude, girls",Individual Photographer Monograph,,,,,,
Kern,Richard,Medicated,APE (Art Paper Editions),2021,,,,,,,,Jurgen Maelfeyt,"My name is Faye and I’m 18. I take 15 mgs of Adderall extended release. I started taking them last year when I was 17. I’ve always had like problems in school, behavioral problems, and I’ve had problems in class… but I was on my last year of high school so—I was doing really badly so my mom and I thought that we should like finally go to a psychiatrist and get something for me to like push me through. Like it wasn’t the most intense examination he was like so- if I didn’t have this problem I could still go in and lie about it. Like I just told him what was wrong with me and he just prescribed me something. Like I could’ve been lying. I said that I can’t pay attention in class, I’m really disorganized, and I also went to him for anxiety too, cause I have really bad anxiety, and I feel like my attention and anxiety go like hand in hand.",http://www.richardkern.com/,https://artpapereditions.org/,Individual Photographer Monograph,"erotica, nyc, nude, girls, drugs, weed",Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,
Kern,Richard,Medicated,APE (Art Paper Editions),2021,,2nd copy,,,,,,Jurgen Maelfeyt,"My name is Faye and I’m 18. I take 15 mgs of Adderall extended release. I started taking them last year when I was 17. I’ve always had like problems in school, behavioral problems, and I’ve had problems in class… but I was on my last year of high school so—I was doing really badly so my mom and I thought that we should like finally go to a psychiatrist and get something for me to like push me through. Like it wasn’t the most intense examination he was like so- if I didn’t have this problem I could still go in and lie about it. Like I just told him what was wrong with me and he just prescribed me something. Like I could’ve been lying. I said that I can’t pay attention in class, I’m really disorganized, and I also went to him for anxiety too, cause I have really bad anxiety, and I feel like my attention and anxiety go like hand in hand.",http://www.richardkern.com/,https://artpapereditions.org/,Individual Photographer Monograph,"erotica, nyc, nude, girls, drugs, weed",Individual Photographer Monograph,,,"Hudson Street Library, NYC",,,
Kern,Richard,Bed Bath and Beyond,Innenzines,,,,,,,,,,,http://www.richardkern.com/,,Individual Photographer Monograph,"erotica, nyc, nude, girls",Individual Photographer Monograph,,,,,,
Kern,Richard,Bed Bath & Beyond,,,,,,,,,,,,http://www.richardkern.com/,,Individual Photographer Monograph,"erotica, nyc, nude, girls",Individual Photographer Monograph,,,,,,
Kessels,Erik,Unfinished Father,RVB Books,2016,,,,979-1090306387,,,Signed,,,,,,,,,,,,,/assets/images/books/Kessels_Unfinished_Father_9791090306387.jpg
Kessels,Erik,Useful Photography #001,Kesselskramer,,210 x 297 mm,"Softcover, Colour / black & white, 210 x 297 mm, 60 pages",,978-90-72007-70-4,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_001_9789072007704.jpg
Kessels,Erik,Useful Photography #002,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 258 pages,",,978-90-75380-46-0,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_002_9789075380460.jpg
Kessels,Erik,Useful Photography #003,Kesselskramer,,210 x 297 mm,"Softcover, Colour / black & white, 210 x 297 mm, 160 pages",,978-90-75380-62-0,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_003_9789075380620.jpg
Kessels,Erik,Useful Photography #004,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 80 pages",,978-90-75380-96-5,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_004_9789075380965.jpg
Kessels,Erik,Useful Photography #005,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 84 pages",,978-90-70478-06-3,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,
Kessels,Erik,Useful Photography #006,Kesselskramer,,210 x 297 mm,"Softcover, Colour / black & white, 210 x 297 mm, 88 pages,",,978-90-70478-12-4,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,
Kessels,Erik,Useful Photography #007,Kesselskramer,2007,210 x 297 mm,"Softcover, Colour / black & white, 210 x 297 mm, 64 pages, soft cover.",,978-90-70478-16-2,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,
Kessels,Erik,Useful Photography #009,Kesselskramer,2009,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 172 pages,",,978-90-70478-25-4,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_009_9789070478254.jpg
Kessels,Erik,Useful Photography #010,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 176 pages",,978-90-70478-34-6,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_010_9789070478346.jpg
Kessels,Erik,Useful Photography #011,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 176 pages",,978-90-70478-34-6,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_010_9789070478346.jpg
Kessels,Erik,Useful Photography #012,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 104 pages",,978-90-70478-40-7,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_012_9789070478407.jpg
Kessels,Erik,Useful Photography #013,Kesselskramer,,210 x 297 mm,"Softcover, Colour, 210 x 297 mm, 240 pages",,978-90-70478-43-8,,,,,,https://www.erikkessels.com/,,,Photography,,,,,,,/assets/images/books/Kessels_Useful_Photography_013_9789070478438.jpg
Khandekar,Narayan,Collecting Colour,,,,,,,,,,,,,,,,,,,,,,
Kiefer,Anselm,Die Buchstaben,Wienand,2012,27.3 x 1.2 x 2 cm,,,978-3868321067,by Walter Smerling (Editor),Anselm Kiefer (Contributor),,,"Our civilization would be inconceivable without letters. In a meaningful way, words, sentences and scripts are strung together, especially the printed word that shapes our existence. Anselm Kiefer deals with this power of the word in his work The Letters, to which this publication is dedicated. Sunflowers that grow out of a printing machine, rolls of film that spill on the floor, letters that are scattered on the floor combine to create a space-filling installation. The artist develops an ambiguous symbiosis from the surprising combination of technical object and natural organism. Numerous large-format detailed images enable intensive immersion in this complex, poetic spatial staging.",,,,,,,,,,,/assets/images/books/Kiefer_Die_Buchstaben_9783868321067.jpg
Kilimnik,Karen,Photographs,,2015,,252 pages,,978-3905929584,,,,,,,,,Photography,,,,,,,/assets/images/books/Kilimnik_Photographs_9783905929584.jpg
Kim,Sandy,Puss Puss,,,,,,,,,,,,,,,,,,,,,,
Kiwitt,Stephanie,"Four Oranges, Some Office Buildings, Woman's Legs",APE (Art Paper Editions),2015,,32 pages,,978-9490800376,,,,,,,,Photography,Photography,,,,,,,/assets/images/books/Kiwitt_Four_Oranges_Some_Office_Buildings_Woman_s_Legs_9789490800376.jpg
Klien,Jens,Sunset,Spector Books,,,,,,,,,,,,,,,,,,,,,
Knorr,Karen,Belgravia,,,,,,,,,,,,,,,,,,,,,,
Kominek,Misha,Test The Wind,,,,,,,,,Signed,,,,,,,,,,,,,
Konami,Jiro,Namedaruma,,2021,,,,,,,,,,,,,,,,,,,,
Konrad,Aglaia,Japan Works,Roma Publications,2021,21 x 26 cm,"Softcover, 496 pages",,978-9492811912,,,,Roger Willems.,"Aglaia Konrad’s photographic work probes the social, cultural, economic, political, and historical parameters that inform architecture and urbanism. Japan Works is the result of her journey through Japan in the autumn of 2019. Using a pre-compiled list of places with exceptional architecture, Konrad took thousands of photos in Tokyo, Itoigawa, Kyoto, Nagoya and Osaka. In addition to mostly iconic, post-war Metabolist architecture, Konrad also took a large number of photos of nonspecific architectural moments and infrastructure that, with the same intensity, give their own impression of the architectural landscape in Japan. Free associations of full-page photographs alternate with contact sheets documenting her itinerary. These are informed by postscript glosses written by architect and critic Julian Worrall.",https://aglaiakonrad.com,https://www.romapublications.org,,,,,,,,,
Kooiker,Paul,Luxaflex,Dashwood,2017,,"Softcover zine, 14 pages, with 20 black and white reproductions (including covers). There are no texts or essays.","Numbered, 140 copies",NA,,,,,20 black and white reproductions (including covers). There are no texts or essays.,,,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,
Kooiker,Paul,The Rumour,APE (Art Paper Editions),2020,24 x 33 cm,"40 pages, 40 p, ills colour, thread sewn + signed and numbered print",Limited edition of 700 copies,978-9493146488,,,,,"One title and 19 donkey’s, Paul Kooiker’s statement about surrealism.",,https://artpapereditions.org/,Photography,"Donkey, Animal, Surrealism",Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,/assets/images/books/Kooiker_The_Rumour_9789493146488.jpg
Kooiker,Paul,The Rumour,APE (Art Paper Editions),2020,24 x 33 cm,"40 pages, 40 p, ills colour, thread sewn + signed and numbered print",Limited edition of 700 copies,978-9493146488,,,,,"One title and 19 donkey’s, Paul Kooiker’s statement about surrealism.",,https://artpapereditions.org/,Photography,"Donkey, Animal, Surrealism",Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,/assets/images/books/Kooiker_The_Rumour_9789493146488.jpg
Kooiker,Paul,Heaven,Van Zoetendaal Gallery,2012,9.72 x 0.87 x 13.7 inches,"Hardcover, 176 pages",,978-9072532138,,,,,,,,Individual Photographer Monograph,Art,Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,/assets/images/covers/9789072532138.jpg
Kooiker,Paul,Nude Animal Cigar,Art Paper Edition,2015,9.65 x 1.61 x 7.01 inches,"336 pages, Hardcover, , 336 pp",500,978-9490800284,,,,,,http://www.paulkooiker.com/,https://www.kominek-gallery.com/,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,/assets/images/books/Kooiker_Nude_Animal_Cigar_9789490800284.jpg
Kooiker,Paul,Nude Animal Cigar,Art Paper Edition,2015,9.65 x 1.61 x 7.01 inches,"336 pages, Hardcover, , 336 pp",500,978-9490800284,,,,,,http://www.paulkooiker.com/,https://www.kominek-gallery.com/,Individual Photographer Monograph,,Individual Photographer Monograph,,,"Hudson Street Library, NYC, NYC",,,/assets/images/books/Kooiker_Nude_Animal_Cigar_9789490800284.jpg
Kroll,Eric,THE NEW YORK YEARS 1971 to 1994 (regular edition) – Eric Kroll,,,,,,,,,,,,,,,New York City,,,,,,,
Kruger,Barbra,"Barbara Kruger : Thinking of You, I Mean Me, I Mean You",DelMonico Books/Los Angeles County Museum of Art,2021,8.98 x 1.1 x 10.24 inches,"Hardcover, 208 pages",First edition,978-1942884774,,,Not signed or inscribed.,"Designed by IN-FO.CO (Adam Michaels, Marina Kitchen)","Since the mid-1970s, Barbara Kruger (born 1945) has been interrogating consumer culture in works that often combine visual and written language. In her singular graphic style, Kruger probes aspects of identity, desire and consumerism that are embedded in our everyday lives. This volume traces her continuously evolving practice to reveal how she adapts her work in accordance with the moment, site and context. The book features a range of striking images—from her analogue paste-ups of the 1980s to digital productions of the last two decades, including new works produced on the occasion of the exhibition. Also featured are singular works in vinyl, her large-scale room wraps, multichannel videos, site-specific installations and commissioned works",,,Individual Artist Monograph,"Art, Feminism, Pop Culture",Individual Artist Monographs,"ART055000, ART037000, ART050010",709.2,Clipper,,,/assets/images/books/Kruger_Barbara_Kruger_Thinking_of_You_I_Mean_Me_I_Mean_You_9781942884774.jpg
Kruger,Barbra,"Remote Control : Power, Cultures, and the World of Appearances",The MIT Pres4,1994,6 x 0.5 x 9 inches,Paperback,,978-0262611060,,,,,,,,,,,,,Clipper,,,/assets/images/books/Kruger_Remote_Control_Power_Cultures_and_the_World_of_Appearances_9780262611060.jpg
Kruger,Barbra,Thinking of you,The MIT Press & The Museum of Contemporary Art,1999,9.25 x 1 x 11.25 inches,"Hardcover, 268 pages",,978-0262112505,,,,,,,,,Art,,,,Clipper,,,
Kruger,Barbra,Love for Sale: The Words and Pictures of Barbara Kruger,Harry N Abrams Inc,1990,11 x 0.75 x 13 inches,"Hardcover, 88 pages",,978-08109121,,,,,,,,,,,,,Clipper,,,
Kruger,Barbra,We Won't Play Nature to Your Culture,"The Institute of Contemporary Arts, London & The Kunsthalle Basel",1983,,,,,,,,,,,,,Nature,,,,Clipper,,,
Kruger,Barbra,,,,,,,,,,,,,,,,,,,,Clipper,,,
Kruger,Barbra,Believe + Doubt,Kunsthaus Bregenz,2021,,,,,,,,,,,,,,,,,,,,
Kudász,Arion,Human by Gábor,Self-published in cooperation with Faur Zsófi Gallery,2018,"18,8 x 25 cm","hardcover, dust jacket, 120 pages, 80 duotone illustrations",500 numbered copies,978-615-00-0603-1,,,,,,,,,Art,,,,,,,
Kurland; John Yau (poet),Justine,Black Threads from Meng Chiao,TIS Books,2015,5.75 x 8 in.,"Softbound French Fold, 54 pages 20 tritone plates",Edition of 400,,,,Signed,,"In a true collaboration, Justine Kurland and John Yau shared photographs and poems throughout the making of Black Threads from Meng Chiao, each reacting to the work of the other many times over. The result is a revelation for each: Kurland's intimate interior black-and-white images offer a new side of an artist known for large-format color pictures of landscapes both peopled and not; Yau's spare, precise language is given room to reveal multiple layers of meaning over the three distinct formal sections that comprise the title poem. A friendship between these two was born several years ago after Yau - also a renowned critic - wrote about Kurland's photographs, but an artistic partnership wasn't contemplated until they recently found themselves in similar mental and emotional situations born of quite different logistical circumstances. Yau was housebound while recuperating from knee and neck surgeries, and Kurland was off the road (her accustomed place of working), caring for her son in the East Village. It was, in Kurland's words, a period of ""house arrest, or being shipwrecked"" for both. Kurland turned away from the 4x5 film camera and its slow working process to embrace the immediacy of a digital SLR and its instant results, producing tight interior shots as claustrophobic and caged as she felt. Through the magic of email, she shared the raw results with Yau, who responded both to the specifics of her images and to the way he was feeling as a person whose full, unfettered mobility had been temporarily removed from him. The idea of Meng Chiao's Black Threads came from that poet's late poems, in which he wrote sequences comprised of interconnected (or, to Yau's thinking, echoing) lyrics. Yau started the sequence after he was unable to find the book in his library, and took this as a sign to begin writing in the space of its absence. In turn, the photographer internalized the poet's ideas to spur the making of new pictures, and the process was repeated several times. Kurland says the result is like ""staring out a window at a brick wall across the alley"" - finding some way to deal with adverse situations and making sense of them through the creation of something new in the world.",,,,,,,,,,,
Kurmaz,Sasha,Concrete and sex,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
Lacombe,Quentin,Event Horizon,,,,,,,,,,,,,,,,,,,,,,
Ladd,Jeffrey,A Field Measure Survey of American Architecture,Pogo Books,2021,23.32 x 17 cm,"Paperback with buckram cover, 368 pages",,9781913620417,,,Signed,,"Drawing from the nearly half a million photographs and documents comprising the Historic American Buildings Survey held in the US Library of Congress, this book constructs a fictional ‘one-way road trip’ across the United States, weaving north and south across the Mason-Dixon line while tacking west. In A Field Measure Survey of American Architecture, Jeffrey Ladd uses the HABS archive as a surrogate in order to manifest a portrait of his former country at a moment when its democracy seems imperiled.",,https://mackbooks.co.uk,,Architecture,,,,,,,/assets/images/books/Ladd_A_Field_Measure_Survey_of_American_Architecture_9781913620417.jpg
Lambert,Matt,KEIM,,2015,,168 pages,,9782940524020,,,,,,,,,,,,,,,,
Lange,Mårten,The Mechanism,,,,,,,,,Signed,,,,,,,,,,,,,
Larrain,Sergio,Sergio Larrain (Agnes-Sire),aperture,,,,,,,,,,,,https://aperture.org/,,Photography,,,,,,,
Lattuada,Alberto,USA 1972,,,,,,,,,,,,,,,,,,,,,,
Le Hors,Pierre,Byways & Through Lines,,,,,,,,,,,,,,,,,,,,,,
Lee,H,Grassland,,,,,,,,,,,,,,,,,,,,,,
Leiter,Saul,Women,,,,,,,,,,,,,,,,,,,,,,
Leiter,Saul,All About Saul Leiter,,,,,,,,,,,,,,,,,,,,,,
Leiter,"Saul Leiter, Paul",It Don't Mean A Thing,Steidl Publishers,2018,,"368 pages	Hardcover, in very good condition.",First edition,978-3958293290,Margit Erb (Editor,Not signed or inscribed.,,,"""It Don't Mean A Thing"" is a comprehensive survey of the color photographs of Saul Leiter and his brother, Paul Leiter. It includes many previously unpublished photographs, and essays by various contributors.",,,Art,"Photography, Art, Color Theory","ART029000, ART051000, ART016000","ART029000, ART051000, ART016000",779.36,"Hudson Street Library, NYC, NYC",,,/assets/images/covers/9783958293290.jpg
Leiter,"Saul Leiter, Paul",It Don't Mean A Thing,,,,2nd copy,,,,,,,,,,,,,,,,,,
Leone,Lisa,Here I Am,Minor Matters,,,,,,,,,,,,,,,,,,,,,
Lesy,Michael,Angel's World: The New York Photographs of Angelo Rizzuto,W. W. Norton & Company,2005,,128 pages,,978-0393061116,,,,,,,,,"New York City, Photography",,,,,,,/assets/images/books/Lesy_Angel_s_World_The_New_York_Photographs_of_Angelo_Rizzuto_9780393061116.jpg
Leutwyler,Henry,Ballet: Photographs of the New York City Ballet,"Steidl Druckerei Und Verlag, Gerhard",2015,,,,,,,,false,,,https://steidl.de/,https://steidl.de/,"New York City, Photography",,,779.979281,779.979281,,,
Leutwyler,Henry,Document,Steidl,2016,,"Hardcover, 208 pages",,978-3869309699,,,,,,,https://steidl.de/,"Individual Photographers ; Monographs, Dance ; Classical & Ballet, United States ; Northeast ; Middle Atlantic",,"Individual Photographers ; Monographs, Dance ; Classical & Ballet, United States ; Northeast ; Middle Atlantic",,,,,,/assets/images/books/Leutwyler_Document_9783869309699.jpg
Lichtenstein,Roy,"Roy Lichtenstein: History in the Making, 1948-1960",Rizzoli Electa,2020,,,,,,,,false,,,,,History,,,,Clipper,,,
Lichtenstein,Roy,Lichtenstein Posters,,,,,,,,,,,,,,,,,,,Clipper,,,
Lichtenstein,Roy,Greene Street Mural,,,,,,,,,,,,,,,,,,,Clipper,,,
Lichtenstein,Roy,Girls,,,,,,,,,,,,,,,,,,,Clipper,,,
Lichtenstein,Roy,Lichtenstein Posters,Prestel,,,,,,,,,,,,,,,,,,Clipper,,,
Lichtenstein,Roy,,,,,,,,,,,,,,,,,,,,Clipper,,,
Lilley,Lynn Alleva,Tender Mint ,,,,,,,,,,,,,,,,,,,,,,
Lindbergh,Peter,A Different Vision on Fashion Photography,Taschen,,,,,,,,,,,,,,"Art Book, Fashion, Photography",,,,,,,
Lixenberg,Dana,Imperial Courts,,,,,,9789491843426,,,,,,,,,,,,,,,,/assets/images/covers/9789491843426.jpg
Lloyd,Brett,Scugnizzi (PRE-ORDER A COPY),,,,,,,,,,,,,,,,,,,,,,
Lozano,Lee,Private Book 1,KARMA,2016,5 × 3 inches,"spiral-bound paperback, 136 pages",First Edition,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 2,KARMA,2017,5 × 3 inches,"spiral-bound paperback, 196 pages",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 3,KARMA,2017,5 × 3 inches,"spiral-bound paperback, 200 pages",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 4,KARMA,2018,5 × 3 inches,"spiral-bound paperback,",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 5,KARMA,2018,5 × 3 inches,"spiral-bound paperback,",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 6,KARMA,2019,5 × 3 inches,"spiral-bound paperback,",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Private Book 7,KARMA,2019,5 × 3 inches,"spiral-bound paperback,",2500,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,
Lozano,Lee,Drawings,Hauser & Wirth,2006,,,First Edition,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,,,Art,,,,,,,
Lozano,Lee,Lozano c. 1962,Karma,2017,8.3 x 0.6 x 10.4 inches,"Hardcover, 92 pages",First Edition,978-1942607588,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,https://karmakarma.org/,,,,,,,,,/assets/images/books/Lozano_Lozano_c._1962_9781942607588.jpg
Lozano,Lee,Tools,An Art Service; 500th edition,2011,,,First Edition,,,,,,,https://www.hauserwirth.com/artists/2812-lee-lozano/,,,,,,,,,,
Lubina,Himid,Lubina Himid,,2022,,,,,,,No,,,,,,,,,,,,,
Luchford,Glen,Damaged Negatives,,,,,,,,,,,,,,,,,,,,,,
Lynch,David,Distorted Nudes,Absurda,2004,,74 pages,,ASIN: B004CP2P1Q,,,,,,,,,,,,,,,,
Lyon,Danny,Conversations With the Dead,"Henry Holt & Company, Inc.",1971,,,,978-0030850691,,,,,,,,,,,,,,,,
Lyon,Danny,The Seventh Dog,,,,,,,,,,,,,,,,,,,,,,
